YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,PDF
2013,Audi,A7 Sportback / S7 Sportback,PDF,2013 Audi A7 Sportback / S7 Sportback — Owner's Manual,"Your vehicle is not equipped with EDR, installed by some manufacturers for the express purpose of capturing data for retrieval after an accident or crash event. EDR's are sometimes called ""crash recorders"". Some state laws restrict the retrieval or downloading of data stored by EDR's that were installed in a vehicle for the express purpose of retrieving data after an accident or crash event without the owner's consent. Although your vehicle is not equipped with an EDR, it is equipped with a number of electronic control modules for various vehicle systems such as, for example, engine function, emission control, as well as for the airbags and safety belts.

These electronic control modules also record vehicle-related data during normal vehicle operation for diagnostic and repair purposes. The recording capacity of the electronic control modules is limited to data (no sound is recorded) and only a small amount of data is actually recorded over a very limited period of time and stored when a system fault or other condition is sensed by a control unit. Some of the data then stored may relate to vehicle speed, direction, braking as well as restraint system use and performance in the event of a crash or other condition. Stored data can only be read and downloaded with special equipment.",https://ownersmanuals2.com/d/65197
2012,Audi,A7 Sportback / S7 Sportback,PDF,2012 Audi A7 Sportback / S7 Sportback — Owner's Manual,"The maximum permissible roof weight is 220 lb (100 kg). The roof weight is the total of the weight of the roof rack, the attachments and the cargo you are carrying. You must also not exceed the maximum load weight for the roof rack you are using. When using a roof rack system which has a lower load carrying capacity, you must not use up the total maximum permissible load carrying capacity specified above.

Instead, you should load the roof rack system only to the maximum capacity specified by the manufacturer of the roof rack system. If luggage or cargo is to be carried on the roof, you must observe the following: To enhance the vehicle's streamlined design, rain gutters have been molded into the roof. It is not possible to use normal roof racks. Only install a roof rack specifically designed for your vehicle.

Only use roof racks approved for your vehicle. These approved roof racks are the basis for a complete roof rack system. Additional attachments or carrier systems are needed to transport luggage and sports equipment. The support feet of the roof rack must always be installed in the holes in the roof frame fig. 58.

The holes are only visible when the doors are open. In the case of roof racks with pins, the pins must be secured in the holes during assembly. We recommend that you keep the installation instructions for your roof rack system together with your Owner's literature in the vehicle.",https://ownersmanuals2.com/d/71218
2020,Audi,A8 / S8,PDF,2020 Audi A8 / S8 — Owner's Manual,,https://ownersmanuals2.com/d/75019
2019,Audi,A8 / S8,PDF,2019 Audi A8 / S8 — Owner's Manual,,https://ownersmanuals2.com/d/73362
2018,Audi,A8 / S8,PDF,2018 Audi A8 / S8 — Owner's Manual,"Front passenger's exterior mirror tilt function To help you see the curb when back ing int o a parking space, the surface of the mirror tilts slightly. For this to happen, the knob must be in the position for the front passenger's exterior mirror. You can adjust the tilted mirror surface by turning the knob in the desired direction. When you move out of reverse and into another gear, the new mirror position is stored and assigned to the key you are using.

The mirror goes back into its original position once you drive forward faster than 9 mph (15 km/h) or turn the ignition off. You can adjust the settings for the rear sunshade so the shade retracts automatically when you select the reverse gear. Select: CAR function button - Car systems control button - Vehicle settings - Automatic rear blind - On. The settings are automatically stored and assigned to the remote control key.

The sunshade is extended again as soon as the vehicle is traveling forward at a speed greater than 9 mph (15 km/h) if the ignition has not been switched off in the meantime.",https://ownersmanuals2.com/d/72492
2017,Audi,A8 / S8,PDF,2017 Audi A8 / S8 — Owner's Manual,"The selector lever lock prevents you from selecting a position unintentionally, causing the vehicle to roll. When engaging some selector lever positions, you must press the button on the selector lever fig.96 and/or press the brake pedal. You must press the brake pedal to engage a selector lever position when the engine is running and the vehicle is stationary. The arrows fig.97 indicate when you need to press the button on the selector lever.

The selector lever does not lock if you shift from D to R within one second. This allows you to ""rock"" the vehicle to free it when it is stuck. This selector lever position prevents the vehicle from rolling. Only shift into park when the vehicle is stationary.

To engage the P selector lever position, press the button on the selector lever and shift into the P position. You can only shift out of park when the engine is running and you are pressing the brake pedal. To release the parking lock. press the button on the selector lever and select the desired position.

P engages automatically when you switch the engine off while D, Sor R is engaged or in manual mode. If you switch the engine off when the N position is selected, the transmission remains in N for approximately 30 minutes and then Pis engaged. You must use the parking lock emergency release before towing the vehicle (page 88). The reverse gear is engaged in this position.

Only select reverse gear when the vehicle is stationary and the engine is running at idle speed. To engage the R selector lever position, press the button on the selector lever, press the brake pedal and move the selector lever into the R position. The reverse lights turn on when you select the R selector lever position while the engine is running. The transmission is in idle in this position.

To engage the N selector lever position, press the button on the selector lever and shift into the N position. If you switch the engine off when the N position is selected, the transmission remains in N for approximately 30 minutes and then Pis engaged. You cannot select the N position when the ignition is switched off. When driving through an automatic car wash, first select the N position and then turn the engine off (page 306).

For safety reasons, the vehicle cannot be locked when the transmission is in the N position.",https://ownersmanuals2.com/d/71908
2016,Audi,A8 / S8,PDF,2016 Audi A8 / S8 — Owner's Manual,"Active lane assist helps you keep your vehicle in your lane. Active lane assist detects lane marker lines within the limits of the system using a camera in the windshield. If you are approaching a detected lane marker line and it appears likely that you will leave the lane, the system will warn you by means of corrective steering. The driver can override the corrective steering at any time.

If the vehicle crosses a line, the driver is also warned by a light vibration in the steering wheel. The vibration warning must be switched on in the MMI for this to happen. Active lane assist is operable when the line marking the lane is detected on at least one side of the vehicle. The system is designed for driving on freeways and expanded highways and thus works only at speeds of 40 mph (65 km/h) or more.

Applies to vehicles with side assist: If you activate your turn signal when active lane assist is ready and when activated side assist has classified a lane change as critical because of vehicles traveling alongside you or coming closer, there will be noticeable corrective steering just before you leave the lane. This is done to try to keep your vehicle in the lane. Applies to vehicles without side assist*: when the system is ready, it does not warn you if you activate your turn signal before driving across a lane marker line. In this case, it assumes that you are changing lanes intentionally.",https://ownersmanuals2.com/d/71891
2015,Audi,A8 / S8,PDF,2015 Audi A8 / S8 — Owner's Manual,"In order to provide effective lubrication and cooling of internal engine components, all internal combustion engines consume a certain amount of oil. Oil consumption varies from engine to engine and may change significantly over the life of the engine. Typically, engines with a specified break-in period (see ¢ page 205) consume more oil during the break-in period than they consume after oil consumption has stabilized. Under normal conditions, the rate of oil consumption depends on the quality and viscosity of the oil, the RPM (revolutions per minute) at which the engine is operated, the ambient temperature and road conditions.

Further factors are the amount of oil dilution from water condensation or fuel residue and the oxidation level of the oil. As any engine is subject to wear as mileage builds up, the oil consumption may increase over time until replacement of worn components may become necessary. With all these variables coming into play, no standard rate of oil consumption can be established or specified. There is no alternative to regular and frequent checking of the oil level, see Note.

If the yellow engine oil level warning symbol in the instrument cluster II lights up, you should check the oil level as soon as possible.",https://ownersmanuals2.com/d/71893
2014,Audi,A8 / S8,PDF,2014 Audi A8 / S8 — Owner's Manual,"Switching rear window heater on/off. The rear window heater only operates when the engine is running. It switches off automatically after 10 to 20 minutes, depending on the outside temperature. To prevent the rear window heater from switching off automatically, press and hold the ~ button for more than 2 seconds.

This remains stored until the ignition is switched off. When synchronization is switched on, the settings for the driver's side are applied to the front passenger's side (except for seat heating/ventilation). The rear seat is also synchronized in vehicles with the 4-zone de - luxe automatic climate control system. Synchronization switches off if the settings are adjusted on the front passenger's side or in the rear.

You can synchronize the settings in a row by pressing and holding a knob. For example, to apply the settings for the front passenger's side to the driver's side, press and hold the knob on the front passenger's side. You can open or close the center and rear vents in the cockpit and the vents in the rear center console and door pillars using the ridged thumbwheels. The levers adjust the direction of the airflow from the vents.",https://ownersmanuals2.com/d/65187
2013,Audi,A8 / S8,PDF,2013 Audi A8 / S8 — Owner's Manual,"These electronic control modules also record vehicle-related data during normal vehicle operation for diagnostic and repair purposes. The recording capacity of the electronic control modules is limited to data (no sound is recorded) and only a small amount of data is actually recorded over a very limited period of time and stored when a system fault or other condition is sensed by a control unit. Some of the data then stored may relate to vehicle speed, direction, braking as well as restraint system use and performance in the event of a crash or other condition. Stored data can only be read and downloaded with special equipment.

ESC helps to improve road holding and vehicle dynamics to help reduce the probability of skidding and loss of vehicle control. It works only when the engine is running. ESC detects certain difficult driving situations, including when the vehicle is beginning to spin (yaw) out of control and helps you to get the vehicle back under control by selectively braking the wheels, and/or reducing engine power and providing steering assistance to help hold the vehicle on the driver's intended course. The indicator light in the instrument cluster blinks when ESC is taking action to help you control the vehicle.",https://ownersmanuals2.com/d/71221
2012,Audi,A8 / S8,PDF,2012 Audi A8 / S8 — Owner's Manual,"On-Board Diagnostics. On-Board Diagnostics monitors the components of your emission control system. Each monitored component in your engine system has been assigned a code. In case of a malfunction, the component will be identified and the fault stored as a code in the control module memory.

The MIL light may also illuminate if there is a leak in the onboard fuel vapor recovery system. If the light illuminates after a refueling, stop the vehicle and make sure the fuel filler cap is properly closed (page 217). In order to make an accurate diagnosis, the stored data can only be displayed using special diagnostic equipment (generic scan tool for OBD). In order to connect the special diagnostic equipment, push the plug into the Data Link Connector (DLC).

The DLC is located to the right of the hood release. Your vehicle may be factory equipped with tires that are rated for a maximum speed of 130 mph (210 km/h). This is less than the maximum speed of your vehicle. To reduce the risk of sudden tire failure and loss of control if the vehicle is operated at excessive speeds, your vehicle also has an electronic speed limiter.

The electronic speed limiter prevents your vehicle from going faster than the tire speed rating.",https://ownersmanuals2.com/d/71896
2011,Audi,A8 / S8,PDF,2011 Audi A8 / S8 — Owner's Manual,"By pressing the ""START ENGINE STOP"" button without depressing the brake pedal, the ignition is on and switched off by pressing it again. After a cold engine is started, there may be a brief period of increased noise because oil pressure must first build up in the hydraulic valve adjusters. This is normal and not a cause for concern. If the engine should not start immediately, the starting process is automatically stopped after a short time.

Repeat starting procedure. Your vehicle is equipped with an electromechanical parking brake. The parking brake is designed to prevent the vehicle from rolling unintentionally and replaces the handbrake. In addition to the normal functions of a traditional hand brake, the electromechanical parking brake provides various convenience and safety functions.

When stopping at a traffic signal or stopping in city traffic, the parking brake can be applied. The vehicle does not have to be held with the footbrake. The parking brake eliminates the tendency to creep with a drive range engaged. As soon as you drive off as usual, the parking brake is released automatically and the vehicle starts to move.",https://ownersmanuals2.com/d/71902
2010,Audi,A8 / S8,PDF,2010 Audi A8 / S8 — Owner's Manual,,https://ownersmanuals2.com/d/71899
2009,Audi,A8 / S8,PDF,2009 Audi A8 / S8 — Owner's Manual,"Side assist uses radar sensors to help the driver check blind spots, and see what is happening in traffic behind the vehicle. Signal lights are built into both outside mirrors. The signal light on the left outside mirror assists when moving over into the left lane and the signal light on the right outside mirror assists when moving over into the right lane. The signal light comes on to tell you that side assist has detected a vehicle on that side and that the position of this other vehicle should be taken into account if you were to change lanes.

This is called the informational stage signal (page 158). The informational stage signal is designed so that you notice it only when you are looking in the outside mirror. When you activate the turn signal and side assist detects a vehicle in a notable location, the corresponding signal on the outside mirror flashes briefly and brightly several times. Side assist compares the distance and difference in speed of detected vehicles with the speed of your vehicle.

Whenever the difference in speed and distance is registered as notable if you were to change lanes, a signal light appears on the respective mirror. The signal can light up if you are passed by a vehicle or if you are passing another vehicle. If you pass another vehicle slowly (difference in speed less than 9 mph or 15 km/h), the signal light will come on as soon as the other vehicle is in your blind spot and is detected by side assist. When the difference in speed is greater, the signal light will not come on.",https://ownersmanuals2.com/d/71910
2008,Audi,A8 / S8,PDF,2008 Audi A8 / S8 — Owner's Manual,"Folding both outside mirrors in flush. The mirror surfaces are heated whenever you switch on the rear window defogger in response to the outside temperature. We recommend folding the outside mirrors flat to help when parking your vehicle or when maneuvering in very tight spaces. When you move the selector lever into R (Reverse), the mirror on the front passenger's door (knob turned to fig.

80) will tilt slightly downward. This make is easier for you to see the curb when you are backing into a parking space. The mirror returns to its initial position as soon as reverse gear is disengaged and vehicle speed is above about 9 mph (15 km/h). The mirror also returns to its initial position if the switch is moved to the driver's outside mirror L or Neutral 0.

The outside mirrors dim at the same time as the inside mirror. When the ignition is switched on, the mirrors automatically dim depending on the amount of light strik ing the mirrors (such as headlights shining into the vehicle from the rear). When you turn on the interior light, or when you move the selector lever into R (Reverse), the anti-glare function stops and the mirrors return to their original condition (not darkened).",https://ownersmanuals2.com/d/71906
2020,Audi,Q3,PDF,2020 Audi Q3 — Owner's Manual,,https://ownersmanuals2.com/d/75013
2019,Audi,Q3,PDF,2019 Audi Q3 — Owner's Manual,,https://ownersmanuals2.com/d/75014
2018,Audi,Q3,PDF,2018 Audi Q3 — Owner's Manual,"Unlocking and locking the vehicle can only be done at the front doors. The remote control key cannot be more than approximately 4 ft (1.5 m) away from the door handle. It makes no difference whether the remote control key is in your jacket pocket, purse or briefcase. The door cannot be opened for a brief period directly after locking it.

This way you have the opportunity to check if the doors locked correctly. You can set in the Infotainment system if only the driver's door or the entire vehicle should unlock when unlocking page 26. You can lock and unlock your vehicle using the central locking switch in the driver's or front passenger's door fig. You can only lock your vehicle using the central locking switch on the center console fig.

When locking the vehicle with the central locking switch, the following applies: - Opening the door and the luggage compartment lid from the outside is not possible (for security reasons, such as when stopped at a light). The LED in the central locking switch turns on when all doors are closed and locked. Front doors: you can open the doors individually from the inside by pulling the door handle. Rear doors: to unlock the doors pull on the door handle one time.

To open the doors, pull on the door handle again. In the event of a crash with airbag deployment, the doors unlock automatically to allow access to the vehicle.",https://ownersmanuals2.com/d/72411
2017,Audi,Q3,PDF,2017 Audi Q3 — Owner's Manual,"The cooling mode only functions with the blower turned on. The air is not cooled and humidity is not removed when cooling mode is switched off. This can cause fog on the windows. The cooling mode switches off automatically when there are cold outside temperatures.

You can adjust the blowe r from Oto III! using the dial. The blower should always run at a low setting to prevent the windows from fogging and to ensure a continuous exchange of air inside the vehicle. When the windows are fogged, using a higher blower speed and setting the knob to is recommended. You can open or close the center and rear vents in the cockpit and the vents in the rear center console using the ridged thumbwheels.

The levers adjust the direction of the airflow from the vents. To switch on the automatic recirculation mode, press the ldbAI button again. The upper LED in the button turns on. Recirculation mode switches on automatically when the engine is cold if you are driving in reverse.

The air quality sensor that is designed for diesel and gasoline exhaust automatically switches the recirculation mode on or off depend ing on the level of pollutants in the outside air. Automatic recirculation mode is time restricted when cooling mode (A/C) is switched off and frost temperatures are identified.",https://ownersmanuals2.com/d/71947
2016,Audi,Q3,PDF,2016 Audi Q3 — Owner's Manual,"This manual contains important information, tips, suggestions and warnings for using your vehicle. Keep this manual in your vehicle at all times. This is especially important if you loan your vehicle to others or sell it. This owner's manual describes the equipment range specified for this model at the time of printing.

Individual equipment options described may only be available at a later date or may only be offered in certain countries. Some sections in this manual do not apply to all vehicles. When this is the case, the beginning of the section indicates the validity, for example ""Applies to vehicles: with side assist"". Optional or vehicle-specific equipment is also identified with an asterisk""*"".

The illustration s are designed as a general guide and on your vehicle may look slightly different than what is illustrated. There is a Table of Content s at the beginning of this owner's manual that lists all of the topics covered in this book in the order that they appear. There is also an alphabetical Index at the end of this owner's manual. All directions, such as ""left"", ""right"", ""front"" and ""rear"", are based on the vehicle's direction of travel.",https://ownersmanuals2.com/d/71223
2015,Audi,Q3,PDF,2015 Audi Q3 — Owner's Manual,"Turn off the ignition. battery discharging, this message appears and a warning tone sounds if you open the driver's door when the ignition is switched on. Press brake pedal to start engine, this message appears if you do not press the brake pedal to start the engine in a vehicle with an automatic transmission. Please engage N or P, this message appears if you try to start or switch off the engine when the selector lever is not in N or P.

The engine can then not be started or switched off. Is key in the vehicle, if the indicator lamp lights up and the message appears, the convenience key* was removed from the vehicle while the engine was running. If the convenience key is not in the vehicle you will not be able to switch on the ignition or restart the engine after it has been switched off. You will also not be able to lock the vehicle from the outside.

Shift to P, vehicle can roll away. Doors can only be locked in P. For safety reasons, this message will appear together with a warning tone if the selector lever is not in position P when you switch off the ignition. Put the selector lever in position P; otherwise the vehicle can roll away and cannot be locked.",https://ownersmanuals2.com/d/65248
2020,Audi,Q5 / SQ5,PDF,2020 Audi Q5 / SQ5 — Owner's Manual,,https://ownersmanuals2.com/d/75016
2019,Audi,Q5 / SQ5,PDF,2019 Audi Q5 / SQ5 — Owner's Manual,"New brake pads do not achieve their full braking effect during the first 250 miles (400 km). They must be ""broken in"" first. However, you can com-pensate for the slightly reduced braking force by pressing firmly on the brake pedal. Avoid heavy braking during the break-in period.

Brake pad wear depends largely on the way the vehicle is driven and on operating conditions. Brake pad wear increases when driving frequently in the city or short distances or when using a very sporty driving style.",https://ownersmanuals2.com/d/73452
2018,Audi,Q5 / SQ5,PDF,2018 Audi Q5 / SQ5 — Owner's Manual,"The segments in front of and behind the vehicle fig.130 help you to determine the distance between your vehicle and an obstacle. The red lines mark the expected direction of travel according to the steering angle. A white segment indicates an identified obstacle that is outside of the vehicle's path. Red segments show identified obstacles that are in your vehicle's path.

As your vehicle comes closer to the obstacle, the segments move closer to the vehicle. The collision area has been reached when the next to last segment is displayed. Obstacles in the collision area, including those outside of the vehicle's path, are shown in red. Do not continue driving forward or in reverse.

The four peripheral cameras are located in the radiator grille, in the luggage compartment lid and on both exterior mirrors fig.137. Make sure that the lenses are not covered by deposits or any other obstructions as this may impair the system. During the first hours of use, the engine has a higher internal friction than later on when all moving parts have settled into place with each other. How the vehicle is driven during the first 1,000 miles (1,500 km) also affects the engine quality.

Drive at moderate engine speeds after the initial break-in period, particularly when running a cold engine. This will reduce engine wear and improve the mileage. Do not drive at too low of an engine speed (RPM). Shift down if the engine stops running ""smoothly"".

Extremely high engine speeds are automatically reduced.",https://ownersmanuals2.com/d/72225
2017,Audi,Q5 / SQ5,PDF,2017 Audi Q5 / SQ5 — Owner's Manual,"If there is a malfunction in the electronic ignition lock, the ignition cannot be turned off. Drive immediately to an authorized service facility to have the cause of the malfunction corrected. On vehicles with Convenience key*, the engine should not be switched off using the Start/Stop button because the engine cannot be started again after the ignition has been switched off. When a yellow warning symbol appears, one warning tone sounds.

A driver message appears as well to explain the malfunction in more detail. The driver warning goes out after about 5 seconds, but it can be brought up at any time by pressing the SET button again. Check the function displayed as soon as possible. The yellow symbol will not go out again until the reason for the malfunction has been corrected.

If several priority 2 malfunctions are present, the symbols appear in succession and remain for about 2 seconds. Automatic headlights/automatic wipers defective. If the symbol illuminates, the light sensor has failed. For safety reasons, the low beams are turned on permanently with the switch in AUTO.

However, you can continue to turn the lights on and off using the light switch. In the case of a defect in the rain sensor, the windshield wiper lever functions are still available.",https://ownersmanuals2.com/d/71853
2016,Audi,Q5 / SQ5,PDF,2016 Audi Q5 / SQ5 — Owner's Manual,"The seat adjustment settings for two drivers can be stored using the memory buttons in the driver's door. The current settings are also automatically assigned to the remote control key being used when the vehicle is locked. When the vehicle is unlocked, the settings assigned to the remote control key being used are automatically recalled. If the OFF switch is depressed, the seat memory is inoperative.

When the Memory function is off, the LED in the button lights up. All the stored settings are retained. We recommend using the OFF switch and deactivating the seat memory if the vehicle is only going to be used temporarily by a driver whose settings are not go ing to be stored. When the vehicle is locked, the current settings are stored and assigned to the remote control key.

But the settings stored on memory buttons 1 to 2 are not deleted. They can be recalled at any time. When the vehicle is unlocked, the settings assigned to the remote control key are restored. If your vehicle is driven by other persons using your remote control key, you should save your individual seat position on one of the memory buttons.

You can recall your settings again simply and conveniently by pressing the corresponding memory button. When the vehicle is locked, these settings are automatically reassigned to the remote control key and stored.",https://ownersmanuals2.com/d/71150
2015,Audi,Q5 / SQ5,PDF,2015 Audi Q5 / SQ5 — Owner's Manual,"When there is an obstacle (such as a wall) next to the parking spot, choose a spot with mo re-space on the sides. Position the long side of the blue area so that there is sufficient space from the curb. The area must not be on the curb. You will also need to start turning the steering wheel much earlier.

There should be a sufficient amount of space between the curb and the blue curve ' and the blue curve 9 fig. 150 must not touch the curb. For vehicles with a factory installed trailer hitch, or a trailer hitch installed according to factory specifications, the parking system rear sensors do not come on whenever you shift into reverse gear or when you press the P switch. Remember, there is no warning for distances to the rear.

The front sensors remain activated. The visual display switches to the trailer towing mode. The picture from the rearview camera will not show the orientation lines nor the blue surfaces. If you install a hitch yourself, this function may not work.

There is an error in the system if the LED on the P switch is blinking and you hear a continuous alarm for a few seconds after switching on the parking system or when the parking system is already activated.",https://ownersmanuals2.com/d/71153
2014,Audi,Q5 / SQ5,PDF,2014 Audi Q5 / SQ5 — Owner's Manual,"In full acceleration, the vehicle is powered by both the combustion engine and the electric motor. This operating mode is called Boost and is only available for a short amount of time because it uses so much energy. Availability depends on the high voltage battery charge level. The boost operating mode is activated by pressing the accelerator pedal all the way down.

The vehicle can be driven completely electrically depending on the high voltage battery charge level and the driving resistance. The combustion engine turns off at that time. The combustion engine starts when accelerating or when the high voltage battery charge level drops below a certain threshold. The vehicle resumes electric driving once the acceleration and the high voltage battery charge level permit.

The functions and operating modes described below are selected automatically by the vehicle control system, depending on the vehicle operating status. This ensures that the vehicle is always in the correct operating mode. One exception is the enhanced electric driving mode (EV mode), which is activated by the driver page 100. When braking, the electric motor will act as a generator creating electric energy that is then stored in the high voltage battery.

This a lso occurs when the vehicle is coasting or driving downhill. The combustion engine is automatically turned off in this case.",https://ownersmanuals2.com/d/65253
2013,Audi,Q5 / SQ5,PDF,2013 Audi Q5 / SQ5 — Owner's Manual,"When stopping at a traffic signal or stopping in city traffic on vehicles with an automatic transmission, the parking brake can be applied. The vehicle does not have to be held with the footbrake. The parking brake eliminates the tendency to creep with a drive range engaged. As soon as you drive off, as usual, the parking brake is released automatically and the vehicle starts to move.

When starting on inclines, the starting assist prevents the vehicle from unintentionally rolling back. The braking force of the parking brake is not released until sufficient driving force has been built up at the wheels. To prevent rolling back unintentionally on an incline, do the following: Keep the switch pulled and depress the accelerator The parking brake stays applied and prevents the vehicle from rolling backward. You can release the switch once you are sure that you are developing enough driving force at the wheels by depressing the accelerator.

Depend ing on the weight of the rig (vehicle and trailer) and the severity of the incline, you may roll backwards as you start. You can prevent rolling backwards by holding the parking brake switch pulled out and accelerating just as you would when starting on a hill with a conventional handbrake. If you pull the switch and hold it above a speed of about 5 mph (8 km/h), the emergency braking function is initiated. The vehicle is braked at all four wheels by activating the hydraulic brake system.

The brake performance is similar to making an emergency stop.",https://ownersmanuals2.com/d/71169
2012,Audi,Q5 / SQ5,PDF,2012 Audi Q5 / SQ5 — Owner's Manual,"You can change the driving mode when the vehicle is stationary or while driving. If traffic perm its, after changing modes, briefly take your foot off the accelerator pedal so that the recently selected mode is also activated for the engine. The COMFORT mode provides a comfortable vehicle setting. The engine and automatic transmission react in a balanced manner to movements of the acceleration pedal.

Steering is light and indirect and the adaptive dampers provide a soft suspension. The setting is ideal for driving on long stretches, such as on freeways. Full use of AUTO provides a comfortable, yet dynamic feel. The setting is perfect for daily use.

DYNAMIC gives the vehicle a sporty feeling. The engine responds quickly to accelerator pedal movements, and steering is sporty and more direct. The adaptive dampers are stiffer, and the automatic transmission shift points are set at higher engine speed ranges. The setting is ideal for sporty driving.",https://ownersmanuals2.com/d/71166
2011,Audi,Q5 / SQ5,PDF,2011 Audi Q5 / SQ5 — Owner's Manual,"There must be at least 10 inches (25 cm) between your chest and the center of the steering wheel. If you cannot sit more than 10 inches (25 cm) from the steering wheel, see if adaptive equipment is available to help you reach the pedals and increase the distance from the steering wheel. By pressing the key without stepping on the brake, the ignition is switched on and off. With the ignition on, the steering wheel is unlocked.

You can only remove the key with the ignition switched off. To do this, you have to press on the key again. With an automatic transmission, the selector lever must be in the P position. When starting the engine, major electrical loads are switched off temporarily.

After starting a cold engine, there may be a brief period of increased noise because the oil pressure must first build up in the hydraulic valve adjusters. This is normal and not a cause for concern. If the engine should not start immediately, the starting process is automatically stopped after a short time. Repeat starting procedure.

This message appears if you do not step on the brake pedal to start the engine on a vehicle with an automatic transmission. This message appears when attempting to start the engine if the selector lever for the automatic transmission is not in the P or N position. The engine can only be started with the selector in these positions. This message appears for safety reasons along with a warning signal.

It appears if the selector lever for the automatic transmission is not in the P position after the ignition is switched off. Move the selector lever to the P position, otherwise, the vehicle is not secured against rolling away. You also cannot lock the vehicle using the locking button on the door handle or using the remote key.",https://ownersmanuals2.com/d/71163
2010,Audi,Q5 / SQ5,PDF,2010 Audi Q5 / SQ5 — Owner's Manual,"As soon as the electrical connection to the trailer socket is completed on vehicles with a factory installed towing hitch, or a trailer hitch that was installed later according to factory specifications, the automatic rear lid function can only be operated via the handle in the rear lid. If the vehicle battery charge drops below a certain level, you can still open or close the rear lid manually, however, you will need to apply more force to close it. If the rear lid on a locked vehicle is unlocked with the middle button is on the remote key, the rear lid is automatically locked again immediately after closing. This is indicated by the turn signals blinking.

The following applies to vehicles equipped with the Convenience key feature: if the remote control key is left in the luggage compartment, luggage compartment will automatically unlock itself after you lock the vehicle. This prevents you from unintentionally locking your key in the luggage compartment. The Coming home function ensures that after turning off the ignition and opening the driver's door the vehicle periphery is illuminated in the dark. In addition, the front fog lights, the tail lights, and the license plate light are turned on.

On-time can be set for a period from O (off) to 60 seconds.",https://ownersmanuals2.com/d/71851
2009,Audi,Q5 / SQ5,PDF,2009 Audi Q5 / SQ5 — Owner's Manual,"Before winter sets in, have the coolant checked to see if the coolant additive in your vehicle is sufficient to meet the climate conditions. This is especially important if you live in a region where the winter is extremely cold. If necessary, increase the proportion of coolant additive to 60%. When adding coolant additive to your cooling system, remember: We recommend using only coolant additive G12++ (check the label) for your vehicle.

This coolant additive is available at authorized dealers. Other types of antifreeze can significantly reduce corrosion protection. The resulting corrosion can cause a loss of coolant and serious engine damage. Do not add any type of radiator leak sealant to your vehicle's engine coolant.

Adding radiator repair fluid may adversely affect the function and performance of your cooling system and could result in damage not covered by your New Vehicle Limited Warranty. The location of the coolant expansion tank can be seen in the engine compartment illustration => page 262. To obtain an accurate reading, the engine must be switched off. The expansion tank in your vehicle is equipped with an electric coolant level sensor.

When the coolant level is too low, the warning light in the AutoCheck System - page 30 will blink until you add coolant and the level has been restored to normal. Even though there is an electric coolant level sensor, we still recommend you check the coolant level from time to time. Coolant loss may indicate a leak in the cooling system. In the event of coolant loss, the cooling system should be inspected immediately by your authorized dealer.

It is not enough merely to add coolant. In a sealed system, losses can occur only if the boiling point of the coolant is exceeded as a result of overheating.",https://ownersmanuals2.com/d/71847
2020,Audi,Q7,PDF,2020 Audi Q7 — Owner's Manual,,https://ownersmanuals2.com/d/75410
2019,Audi,Q7,PDF,2019 Audi Q7 — Owner's Manual,"These electronic control modules record data during normal vehicle operation that may be needed by trained technicians for diagnostic and repair purposes. The recording capability of these modules is limited to data (no sound is recorded). Only a small amount of data is actually recorded over a very limited period of time, or stored when a system fault is detected by a control module. Some of the data stored may relate to vehicle speed, direction, or braking, as well as restraint.",https://ownersmanuals2.com/d/73453
2018,Audi,Q7,PDF,2018 Audi Q7 — Owner's Manual,"Press the switches and knobs to turn the functions on or off. When the function is switched on, the LED in the respective button or knob turns on. The driver and front passenger settings can be adjusted separately. You can switch the climate control system on and off using the OFF button.

It also switches on when you press another button or a knob. Airflow a co from outside is blocked when the climate control system is switched off. Press the knob to turn cooling mode on or off. The air is not cooled and humidity is not removed when cooling mode is switched off.

This can cause fog on the windows. In recirculation mode, the air inside the vehicle is circulated and filtered. This prevents the unfiltered air outside the vehicle from entering the vehicle interior. Switching recirculation mode on when driving through a tunnel or when sitting in traffic is recommended.

Using the button, recirculation mode is switched on and off using the button. You can also switch off the recirculation mode by pressing the knob (left side) or the off using the max button. You can open or close the center and rear vents in the cockpit and the vents in the rear center console and door pillars using the ridged thumb wheels. The levers adjust the direction of the airflow from the vents.",https://ownersmanuals2.com/d/72489
2017,Audi,Q7,PDF,2017 Audi Q7 — Owner's Manual,"If luggage or cargo is to be carried on the roof, you must observe the following: 1) Only a specially designed roof rack may be used on your vehicle. These roof racks are the basis for a complete roof rack system. Additional attachments/carrier systems are necessary to transport luggage and sports equipment. 2) When installing the roof rack, make sure that it is mounted only at the designated points on the roof fig. 79.

3) The maximum permissible roof load for your vehicle is 220 lbs (100 kg). The roof load is the total of the weight of the roof rack, the attachments and the cargo you are carrying. However, please note the permissible load of the carrier system being used, the permissible axle loads and the permissible total vehicle weight page378. The climate control system warms, cools and removes humidity from the air in the vehicle interior.

It is the most effective when the windows and sunroof* are closed. If there is a build-up of heat inside the vehicle, ventilation can help to speed up the cooling process. In all heating mode functions except for defrost, the blower only switches to a higher speed once the engine coolant has reached a sufficient temperature. The pollutant filter removes pollutants such as dust and pollen from the air.

The climate control settings are automatically stored and assigned to the remote control key that is in use.",https://ownersmanuals2.com/d/71137
